datasetName	type	basisOfRecord	modified	language	license	bibliographicCitation	references	rightsHolder	institutionID	institutionCode	dynamicProperties	informationWithheld	occurrenceID	occurrenceStatus	individualCount	sex	lifeStage	recordedBy	occurrenceRemarks	associatedReferences	eventDate	verbatimEventDate	habitat	samplingProtocol	eventRemarks	continent	countryCode	country	verbatimLocality	verbatimCoordinates	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	minimumElevationInMeters	maximumElevationInMeters	kingdom	phylum	class	order	family	genus	scientificName	acceptedNameUsage	taxonRank	typeStatus	identifiedBy	dateIdentified	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0001	present	1	male	adult	Ozernoy A.V.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2022-05-24	2022-5-24			was kept in lab until 19 August 2022	Asia	KZ	Kazakhstan	Balkhash District	"44°54'43"" N; 76°28'58"" E"	44.91194	76.48278	WGS84	100	Logunov D.V.	2023	390	396	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Chalcoscirtus	Chalcoscirtus nigritus (Thorell, 1875)	Chalcoscirtus nigritus (Thorell, 1875)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0002	present	1	female	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-06-29/30	2016-6-29/2016-6-30	clay desert with Haloxylon thicket			Asia	KZ	Kazakhstan	valley of Koibyn river	44°8' N; 79°31' E	44.1333	79.5167	WGS84	2000	Logunov D.V.	2023	760	786	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0003	present	1	male	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-18	2016-4-18	stony mountain steppe with rocks		night collecting	Asia	KZ	Kazakhstan	valley of Ili river (left bank), c. 7 km NW of Kapshagai Town	43°58' N; 77°2' E	43.9667	77.0333	WGS84	2000	Logunov D.V.	2023	550	608	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0004	present	2	female	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-18	2016-4-18	stony mountain steppe with rocks		night collecting	Asia	KZ	Kazakhstan	valley of Ili river (left bank), c. 7 km NW of Kapshagai Town	43°58' N; 77°2' E	43.9667	77.0333	WGS84	2000	Logunov D.V.	2023	550	608	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""mountain""}"		lib_spiders_0005	present	1	male	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-06-26/28	2016-6-26/2016-6-28	stony mountain steppe			Asia	KZ	Kazakhstan	the watershed between Verkhnyaya Taldy and Nizhnyaya Taldy rivers (tributaries of Usek river)	44°25' N; 79°51' E	44.4167	79.85	WGS84	2000	Logunov D.V.	2023	1228	1300	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""mountain""}"		lib_spiders_0006	present	2	female	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-06-26/28	2016-6-26/2016-6-28	stony mountain steppe			Asia	KZ	Kazakhstan	the watershed between Verkhnyaya Taldy and Nizhnyaya Taldy rivers (tributaries of Usek river)	44°25' N; 79°51' E	44.4167	79.85	WGS84	2000	Logunov D.V.	2023	1228	1300	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0007	present	1	male	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-20/22	2016-4-20/2016-4-22	stony mountain steppe with rocks			Asia	KZ	Kazakhstan	Almaty Area, c. 15 km NNW of Karabastau Vil., Tyrnakty stow	43°53' N; 75°30' E	43.8833	75.5	WGS84	2000	Logunov D.V.	2023	850	950	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0008	present	2	male	adult	Fomichev A.A. | Dudko R.Yu.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-18	2016-4-18	stony mountain steppe with rocks		night collecting	Asia	KZ	Kazakhstan	Almaty Area, valley of Ili River (left bank), c 7 km NW of Kapshagai Town	43°58' N; 77°2' E	43.9667	77.0333	WGS84	2000	Logunov D.V.	2023	550	608	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0009	present	2	male	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-17	2016-4-17	stony mountain steppe with rocks			Asia	KZ	Kazakhstan	Almaty Area, Malaisary Mt Range	44°17' N; 76°52' E	44.2833	76.8667	WGS84	2000	Logunov D.V.	2023	550	600	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 1: Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	"{""occurrence"":""plain""}"		lib_spiders_0010	present	4	female	adult	Fomichev A.A.	deposited in Zoological Institute (ZISP), St. Petersburg	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-17	2016-4-17	stony mountain steppe with rocks			Asia	KZ	Kazakhstan	Almaty Area, Malaisary Mt Range	44°17' N; 76°52' E	44.2833	76.8667	WGS84	2000	Logunov D.V.	2023	550	600	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	Philaeus chrysops (Poda, 1761)	Philaeus chrysops (Poda, 1761)	SPECIES		Logunov D.V.	2023	
